seed,executed_steps,success,error,action_smoothness_mean,action_smoothness_max,prediction_inconsistency_mean,prediction_inconsistency_max
1,272,True,,0.03069801708566097,1.0196583271026611,0.08033871051693864,0.4790515899658203
2,253,True,,0.029761544338509253,1.0204342603683472,0.08965956620014613,0.4794703722000122
3,246,True,,0.03363957186229527,1.0181374549865723,0.06468756552785634,0.5009171366691589
4,363,True,,0.022947068971122527,1.0154144763946533,0.08222437667974286,0.48825177550315857
5,254,True,,0.03655715687743392,1.017046332359314,0.05541299258841003,0.46801674365997314
6,400,False,,0.0265777417263693,0.4476080536842346,0.25800786686729743,0.5616295337677002
7,400,False,,0.023235329577413665,1.018032431602478,0.05989442590185275,0.4751743972301483
8,280,True,,0.03046297475317573,1.0154101848602295,0.09776917339626393,0.4939938485622406
9,400,False,,0.035183806173657454,0.499396413564682,0.20040267561667396,0.4871673882007599
10,223,True,,0.04936075880287136,1.0192739963531494,0.09016284156959874,0.4973738491535187
11,229,True,,0.03338560947853247,1.0185894966125488,0.06834891848592904,0.4473324716091156
12,400,False,,0.03956667313257111,0.5141674280166626,0.20298147636388703,0.5151711106300354
13,400,False,,0.036478725311076175,0.4932067394256592,0.18332868144803105,0.49437499046325684
14,242,True,,0.03469267320752538,1.0191329717636108,0.07671394626150116,0.501528263092041
15,393,True,,0.02402487905634857,1.0146288871765137,0.05088675937529805,0.4493073523044586
16,400,False,,0.0520342584434759,0.5137806534767151,0.23006582192908553,0.5334696769714355
17,84,True,,0.010194030351914376,0.18066087365150452,0.10561646048697722,0.22564314305782318
18,400,False,,0.015992946803154315,0.5051337480545044,0.2165478137613538,0.5060224533081055
19,249,True,,0.030145451977131737,1.0120010375976562,0.07911476434298581,0.49618297815322876
20,400,False,,0.04160112954887975,0.5122789740562439,0.22837455552958308,0.5315234661102295
