exp_id,suite,dataset,ckpt_dir,temporal_ensemble_coeff,adaptive_te,stage_resampling,steps,mean_action_error,final_loss,success_rate,placement_success_rate,release_success_rate,strict_success_rate,avg_steps,avg_release_steps,avg_success_steps,action_smoothness_mean,prediction_inconsistency_mean,final_mug_plate_xy_dist,min_mug_plate_xy_dist,failure_mode,video_path,notes
CATE_E0_no_ensemble,cate,datasets/demo_v5_30demos_random,./ckpt/v5,none,0,0,,,,0.70,0.70,0.70,0.70,306.9,267.1,267.1,0.0257,,0.1004,0.0897,max_steps+success,/home/xiaye/vla_learning/experiments/cate_adaptive_paper/CATE_E0_no_ensemble/videos/v5_seed1_20260625_173910.mp4,原始 ACT，无 temporal ensemble；用于验证不平滑时的动作抖动。
CATE_E1b_fixed_03,cate,datasets/demo_v5_30demos_random,./ckpt/v5,0.3,0,0,,,,0.75,0.75,0.75,0.75,307.1,276.1,276.1,0.0266,0.1055,0.3975,0.0926,max_steps+success,/home/xiaye/vla_learning/experiments/cate_adaptive_paper/CATE_E1b_fixed_03/videos/v5_seed1_20260625_174541.mp4,固定 temporal ensemble 系数 0.3，弱平滑，响应更敏感但可能更抖。
CATE_E1_fixed_07,cate,datasets/demo_v5_30demos_random,./ckpt/v5,0.7,0,0,,,,0.60,0.60,0.60,0.60,316.1,260.2,260.2,0.0403,0.1322,0.1726,0.1256,max_steps+success,/home/xiaye/vla_learning/experiments/cate_adaptive_paper/CATE_E1_fixed_07/videos/v5_seed1_20260625_175248.mp4,固定 temporal ensemble 系数 0.7，响应较快但可能更抖。
CATE_E2_fixed_09,cate,datasets/demo_v5_30demos_random,./ckpt/v5,0.9,0,0,,,,0.60,0.65,0.60,0.60,318.3,263.8,263.8,0.0335,0.1265,0.3674,0.1429,max_steps+placement_success_gripper_closed+success,/home/xiaye/vla_learning/experiments/cate_adaptive_paper/CATE_E2_fixed_09/videos/v5_seed1_20260625_190538.mp4,固定 temporal ensemble 系数 0.9，当前强平滑基线。
