seed,executed_steps,success,error,action_smoothness_mean,action_smoothness_max,prediction_inconsistency_mean,prediction_inconsistency_max
1,272,True,,0.030695274338154964,1.0196633338928223,0.08036300342365055,0.47905170917510986
2,253,True,,0.029761544338509253,1.0204342603683472,0.08965956620014613,0.4794703722000122
3,246,True,,0.03364140725628074,1.0181289911270142,0.0646762144466748,0.5009171366691589
4,363,True,,0.022946939837587586,1.0154145956039429,0.08222299589369014,0.48825177550315857
5,254,True,,0.03655719553399279,1.0170327425003052,0.055414243785318416,0.46801674365997314
6,400,False,,0.0265777417263693,0.4476080536842346,0.25800786686729743,0.5616295337677002
7,400,False,,0.0424904279985038,0.4857979416847229,0.17413486010233933,0.4627564251422882
8,277,True,,0.03105431600672908,1.0157742500305176,0.10182222568065576,0.4841003715991974
9,266,True,,0.031558123717023025,1.0158679485321045,0.08272512182769066,0.4591852128505707
10,223,True,,0.049360757045104876,1.0192739963531494,0.0901625436134972,0.4973738491535187
11,400,False,,0.1847454183612411,1.0193365812301636,0.22556355646706389,0.5194746851921082
12,400,False,,0.04219355081855191,0.481693297624588,0.16556410463223406,0.5151715278625488
13,400,False,,0.03797169177741032,0.48757901787757874,0.1853918053657937,0.4854621887207031
14,242,True,,0.03469267320752538,1.0191329717636108,0.07671394626150116,0.501528263092041
15,393,True,,0.02402487905634857,1.0146288871765137,0.05088675937529805,0.4493073523044586
16,400,False,,0.04865819224337919,0.5137830376625061,0.22933390202528253,0.5339592695236206
17,84,True,,0.010194354006145373,0.18066087365150452,0.1056130733004356,0.22563593089580536
18,400,False,,0.017198407759494324,0.5008796453475952,0.2180832423325768,0.5059989094734192
19,249,True,,0.030145237341076287,1.0119895935058594,0.0791175471047961,0.49618297815322876
20,400,False,,0.04098984059678708,0.5121974945068359,0.22914621690498257,0.5315251350402832
