seed,executed_steps,success,error,action_smoothness_mean,action_smoothness_max,prediction_inconsistency_mean,prediction_inconsistency_max
1,272,True,,0.027335948084620244,1.019702672958374,0.06958704952810413,0.42558494210243225
2,400,False,,0.025273009708861968,0.2578449547290802,0.17723983676081762,0.4770258069038391
3,257,True,,0.029245154913724036,1.0163936614990234,0.05744509756186744,0.4587291479110718
4,310,True,,0.025755267260064187,1.0167946815490723,0.07081205413215658,0.4620736241340637
5,255,True,,0.03227930795172171,1.0195033550262451,0.06078196427689528,0.4917471706867218
6,400,False,,0.01816927600578454,0.23587368428707123,0.26249435022449996,0.5228659510612488
7,396,True,,0.022098275117761797,1.0182136297225952,0.057117669579066055,0.45905426144599915
8,285,True,,0.02795444868378338,1.0155425071716309,0.08092516618715205,0.49916911125183105
9,274,True,,0.028494113124693802,1.015921950340271,0.08905610735715801,0.4898435175418854
10,259,True,,0.033080737302332484,1.0152710676193237,0.055086985800790696,0.4478514492511749
11,228,True,,0.0317263824355969,1.0186892747879028,0.055011740085640144,0.4019252359867096
12,400,False,,0.0279907498644072,0.26159146428108215,0.20541191275901438,0.5225173830986023
13,400,False,,0.027162595685888875,0.25189298391342163,0.15764988150755713,0.47603389620780945
14,249,True,,0.02988257066740076,1.0090681314468384,0.06111394368006938,0.49314308166503906
15,398,True,,0.021502335181497027,1.015520691871643,0.05654705569068303,0.48110026121139526
16,400,False,,0.03274788991683793,0.26090848445892334,0.2116058729052133,0.5060328841209412
17,84,True,,0.00781526259695045,0.1007043719291687,0.0900727765724422,0.1727379411458969
18,333,True,,0.02341895080111915,1.0041882991790771,0.09311373915007136,0.4990224540233612
19,243,True,,0.029572568734550237,1.018964171409607,0.07823159349004714,0.48347947001457214
20,298,True,,0.030720832926591213,1.0146626234054565,0.11988057972556011,0.5020595788955688
